,id,text,dominant_topic
0,1,"Le dimanche c'est #D, comme #Destitution ???? -?"" #MacronDestitution  #NiOubliNiPardon Ni prÈservatifs ni #Gardasil ni wokisme ni LGBTisme ???""RENDEZ LE POGNON !",3
1,6,#Gardasil #HPV regardez les ÈlÈments du procËs contre Merx aux US,2
2,7,Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus pgibertie.com/2023/07/13/danÖ via @GibertiePatrice,3
3,9,Papillomavirus : les mensonges de la propagande ?? #Gardasil face ‡ la rÈalitÈ scientifique resistancerepublicaine.com/2Ö,1
4,12,"La prison ?""""Non ! Pour eux ce sera camps de travail, avec doses Covid #Gardasil  HPb .... et finition au rivotril une fois inutiles !",1
5,13,"ChËre @MGEN_officiel ""Quand allez vous cesser de consentir ? Regardez ceci et ne me rÈpondez plus ce genre díinepties  francesoir.fr/societe-sante/Ö ""#VaccineGenocide #gardasil #papillomavirus #HPV",2
6,14,«a aussi c'est monstrueux ! #gardasil,2
7,19,"Covid-19  provoque des  Myocardites""11vaccins obligatoires pour les nourrissons Effets secondaires graves causÈs par les adjuvants#Gardasil provoque des dÈcËs et effets secondaires toujours injectÈs""Plainte pour crimes contre l'humanitÈ dÈposÈe ‡ la Cour PÈnale internationale",4
8,21,Ils auront droit ‡ des doses de #Gardasil. On ne peut pas tout avoir #HumourNoir,1
9,24,"??la science et le bon business.??""??Et tant pis  pour les patients: splann.org/essure-rapport-faÖ gynger.fr/vaccination-les-clÖ#gardasil ""#mafia #corruption #merck",2
10,27,Quant ‡ l'autre machin en caoutchouc il protËge mÍme pas du HPV. #Gardasil contre le cancer du col de l'utÈrus et de la teub,2
11,32,"??#GARDASIL bÈnÈfices risques, qui croire lorsque les effets secondaires se multiplient. piped.video/AgvY-EdSHLg",4
12,39,"Sur le #Gardasil""""#netouchezpasauxenfants",0
13,40,"@FederationPEEP @FCPE_nationale  Les injections ?? de masse ayant eu lieu dans les #collËges et #lycÈes, pourriez-vous demander au gvt ces statistiques ?? ? Comptez-vous laisser faire pour le #Gardasil ? #Enfants #Adolescents #Vaccinodromes #PEEP #FCPE",1
14,43,"Audition parlementaire tout y est ! ""#Gardasil#HpB#GrippeNanoparticules d'aluminium #AlzheimerAutisme 1/35 enfants Asthme 1/11 enfants Maladies auto immunes.....""#CrimesAgainstHumanity",1
15,45,"#CrimesAgainstChildren #Injection #Papillonavirus #Gardasil""""ProtÈger vos enfants, ces injections ont dÈj‡ ÈtÈ expÈrimentÈ dans d'autre pays. Non seulement, elles sont INEFFICACES, mais en sus, elles s'accompagnent d'effets secondaires. #ProtectChildren #ProtectOurKids #France",0
16,47,"Bonjour, non, il faut l'accord des deux parents pour celui-ci ?? #Gardasil #papillomavirus #TouchePas¿MonGosse """"gouvernement.fr/actualite/paÖ",1
17,48,#Merck est en procËs aux ???? sur le #Gardasil Chercher sur le compte @CHdefenseNY pour plus d'infos.,2
18,49,"Le druide...et ce n'est pas surprenant vu l'historique #H1N1,#Gardasil ...",0
19,57,#Gardasil #GARDASIL poiZon tout mon soutien ‡ vous les victimes,1
20,59,"""""La vaccination, ca ne se discute pas"""""""".""Euh ben si, en fait. Et t'avise pas de t'approcher de mes gosses??????#Gardasil #Papillomavirus ""crowdbunker.com/v/hLfSTy2bw4",1
21,60,#Vaccin #Gardasil : les essais sont aussi truquÈs que ceux de l'injection #Covid,1
22,62,"Danger pour les ados ‡ la rentrÈe 2023! Le gouvernement pousse ‡ la vaccination contre le #papillomavirus (#Gardasil) vaccin dangereux et inefficace qui favorise de nouveaux virus""""pgibertie.com/2023/07/13/danÖ",3
23,63,"Cette vaccination n'est pas obligatoire, c'est donc aux parents de dÈcider avec leur enfant si oui ou non cette vaccination est nÈcessaire ‡ 12 ans et prendre en compte les bÈnÈfices/risques de ces injections (3 doses sont nÈcessaires).#Gardasil #vaccination",1
24,66,"???@LaurenceKayser : ´†C'est dangereux d'injecter des produits qui touchent au systËme immunitaire des gens. Pourquoi prendre des risques sur la #santÈ des jeunes ? «a n'a pas de sens. ª #vaccins #vaccination #papillomavirus #gardasil"" ""Entretien complet ? piped.video/HTeXkz_BykY",1
25,70,"Quand il sera capable de reconnaÓtre les EI des diffÈrents scandales sanitaires sans rechigner, il sera en droit de parler de la Science. Pas avant. #creuzfeldtjacob #levothyrox #mediator #h1n1 #gardasil ...",2
26,71,"InefficacitÈ et forte toxicite du. Vaccin chez les enfants""Les 11 vaccins obligatoires pour les nourrissons (Loi AgnËs Buzyn) provoquent des effets secondaires graves causÈs par les adjuvants Toujours injectÈs""#Gardasil provoque des dÈcËs et effets secondaires graves tjs injectÈs",4
27,74,Gardons-nous du #Gardasil ?????,0
28,76,"@AssociationPEC "" @FrcsBraun @PapNdiaye @education_gouv @Sante_Gouv Ne vous avisez pas de dÈployer des infirmiËres du IVe Reich dans les Ècoles pour les injections #Gardasil ou #Covid !  ""Alerte ?? Injections sans consentement des parents ds les ecoles !",1
29,77,"Ce torchon est financÈ par l'Etat ( donc nous ) et par Bill Gates.""""Vive le #Gardasil et la vaccination permanente,",1
30,79,"- ne voulait pas celui contre le Covid, finalement son professeur lui en injectÈ 7. Son mari enseignant vendait #gardasil aux adolescentes,et se plaint que la France est derniËre.Ils ont eu pÈniblement leurs jumeaux par FIV et donneur , #BigPharma a donnÈ,Big pharma va reprendre",0
